Violation location,unique county,street name,Intersecting Street,Violation Precinct,key
105,QUEENS,76 AVE,268 ST,105,113
105,QUEENS,SPRINGFIELD RD,,105,114
105,QUEENS,ROCKAWAY BL,,105,115
105,QUEENS,SPRINGFIELD B,,105,116
105,QUEENS,MERRICK PL,,105,117
105,QUEENS,243RD ST,,105,118
105,QUEENS,S/E 234 ST,MERRICK BL,105,119
105,QUEENS,233 ST,,105,120
105,QUEENS,231 ST,,105,121
103,QUEENS,148 ST,,103,122
103,QUEENS,LIVERPOOL ST,,103,123
103,QUEENS,108 AVE,,103,124
105,QUEENS,141 RD,225 ST,105,125
105,QUEENS,SPRINGFIEILD BLVD,,105,126
105,QUEENS,R/O 88-45 208 ST,,105,127
105,QUEENS,SPRINGFIELD,,105,128
105,QUEENS,LINDEN BLVD,,105,129
105,QUEENS,MERRICK,232 ST,105,130
105,QUEENS,BROOKVILLE BLVD,,105,131
105,QUEENS,256 ST,CRAFT AVE,105,132
105,QUEENS,HOOK CREEK BLVD,145 AVE,105,133
105,QUEENS,OPP 210-21 EDGEWOOD,,105,134
105,QUEENS,LANSING AVE,,105,135
105,QUEENS,PROSPECT S,C/O 225 ST,105,136
105,QUEENS,141 AVE,C/O MERRICK BLVD,105,137
105,QUEENS,S/W 138 AVE,244 ST,105,138
105,QUEENS,S/W 258 ST,144 RD,105,139
122,STATEN ISLAND,NELSON AVE,BROWER CT,122,140
103,QUEENS,SUTPHIN BLVD,,103,141
105,QUEENS,SUTPHIN BLVD,,105,142
120,STATEN ISLAND,RICHMOND RD,,120,143
122,STATEN ISLAND,GIFFORDS LANE,,122,144
122,STATEN ISLAND,GIFFORD LANE,,122,145
122,STATEN ISLAND,HYLAN BLVD,,122,146
19,MANHATTAN,MAIN ST,,19,147
19,MANHATTAN,RIVER ROAD,,19,148
6,MANHATTAN,40 WASHINGTON SQ,WASHINGTON SQUARE PK,6,149
25,MANHATTAN,RANDALL S ISLAND,SUNKEN MEADOW LANE,25,150
25,MANHATTAN,RANDALL S ISLAND,ICAHN STADIUM,25,151
25,MANHATTAN,RANDALLS ISLAND PKG,,25,152
25,MANHATTAN,WARDS MEADOWS LOOP,,25,153
1,MANHATTAN,PIER 15,OPPOSITE OF PLAYGROU,1,154
34,MANHATTAN,EMERSON PLAYGROUND,INWOOD HILL PARK,34,155
34,MANHATTAN,INWOOD HILL PARK,LINDEN RD,34,156
33,OTHER,W 172 ST,HIGHBRIDGE PARK,33,157
34,MANHATTAN,CABRINI BLVD,FORT TRYON PARK,34,158
34,MANHATTAN,RIVERSIDE PARK,148TH ST LOT,34,159
23,MANHATTAN,OMAS JEFFERSON PK,113TH ST,23,160
34,MANHATTAN,EMERSON PLAYGROUND,,34,161
34,MANHATTAN,,EMERSON PLAYGROUND,34,162
33,OTHER,,FORT WASHINTON PARK,33,163
34,MANHATTAN,,JACOB JAVITZ PLYGR,34,164
34,MANHATTAN,W 207 ST,,34,165
34,MANHATTAN,FORT TRYON PL,MARGARET CORBIN DR,34,166
34,MANHATTAN,WEST 207 ST,,34,167
33,OTHER,FT WASHINGTON PARK,INSIDE LOT 148,33,168
34,MANHATTAN,WEST 20 ST,,34,169
34,MANHATTAN,FORT TRYON PLACE,MARGARET CORBIN DRIV,34,170
122,STATEN ISLAND,MIDLAND BEACH LOT 9,LINCOLN AVE,122,171
122,STATEN ISLAND,CEDAR GROVE AVE,EBBITTS ST,122,172
220,OTHER,FAER CAPODANNO BLM,IDLAND 13 EACH FRES1,220,173
122,STATEN ISLAND,MIDLAND BEACH,FR  CAPODANNO BLVD,122,174
122,STATEN ISLAND,FR CAPODANNO BLVD,MIDLAND BEACH FISHIN,122,175
122,STATEN ISLAND,SO BEACH LOT,CAPODANNO BLVD,122,176
122,STATEN ISLAND,SO BEACH LOT 2,SAND LN AND FR CAPOD,122,177
122,STATEN ISLAND,SO BEACH LOT,CAPODANNO,122,178
122,STATEN ISLAND,BEACH LOT,CAPODANNO,122,179
122,STATEN ISLAND,MIDLAND BEACH LOT 9,FR CAPODANNO BLVD AN,122,180
122,STATEN ISLAND,LINCOLN AVE,MIDLAND BC LOT 9,122,181
122,STATEN ISLAND,SOU BCH LOT 1,OCEAN AND DRURY AVE,122,182
122,STATEN ISLAND,SOU BEACH LOT 1,DRURY AVE / OCEAN AV,122,183
122,STATEN ISLAND,SOU BEACH LOT 1,OCEAN AVE / DRURY AV,122,184
122,STATEN ISLAND,FAER CAPODANNO BLV,LINCOLN AVE,122,185
123,STATEN ISLAND,CORNELIA AVE,CHESTER AVE,123,186
19,MANHATTAN,E 50 MAIN ST,,19,187
122,STATEN ISLAND,SO BEACH LOT 2,SAND LN,122,188
122,STATEN ISLAND,MIDLAND BEACH LOT 9,,122,189
122,STATEN ISLAND,MIDLAND BEACH LOT 4,,122,190
122,STATEN ISLAND,LINCOLN AVE,FR CAPODANNO BLVD,122,191
122,STATEN ISLAND,SOU BEACH LOT 1,OCEAN AVE,122,192
122,STATEN ISLAND,BRURY AVE,SOUTH BEACH LOT 1,122,193
122,STATEN ISLAND,SO BEACH FR CAPODANN,SAND LN / DOLPHIN CI,122,194
123,STATEN ISLAND,WOLFES POND PARK PKG,,123,195
122,STATEN ISLAND,MIDLAND BEACH,FR COPODANNO BLVD,122,196
122,STATEN ISLAND,MIDLAND BEACH LOT 9,FR CAPODANNO BLVD,122,197
122,STATEN ISLAND,SOU BEACH LOT 2,FR CAPODANNO BLVD,122,198
122,STATEN ISLAND,LINCOLN AVE,FR  CAPODANNO BLVD,122,199
122,STATEN ISLAND,MIDLAND BEACH LOT 9,LINCOLN AVE / FR CAP,122,200
122,STATEN ISLAND,MIDKIND BEACH,FATHERS CAPADANO BLV,122,201
122,STATEN ISLAND,SOU BEACH LOT,DRURY AND OCEAN AVE,122,202
122,STATEN ISLAND,OCEAN AVE,DRURY AVE,122,203
122,STATEN ISLAND,SOU BEACH LOT 1,DRURY AND OCEAN AVE,122,204
122,STATEN ISLAND,SOU BEACH LOT,OCEAN AVE/ DRUCY AVE,122,205
122,STATEN ISLAND,SOU BEACH LOT,OCEAN AVE AND DRURY,122,206
123,STATEN ISLAND,WOLFESPOND PK,CORNELIA AVE,123,207
122,STATEN ISLAND,SOU BEACH,300 FATHER CAPODANNO,122,208
123,STATEN ISLAND,WATERPOND PARK,CORNELIA AVE,123,209
122,STATEN ISLAND,FARKER VANDANO BLVD,SOUTH BEACH FISHING,122,210
122,STATEN ISLAND,FR CERPO,W/O SO BEACH LOT 2,122,211
122,STATEN ISLAND,FR CEPODANO BLVD,SO BEACH LOT 2 SAND,122,212
122,STATEN ISLAND,,SO BEACH LOT 2 SAND,122,213
