Issuer Code,Issuer Precinct,Issuing Agency,Issuer Command
937503,100,P,0100
955843,100,P,0100
953129,32,P,0032
100171,980,X,0980
100171,985,X,0985
100407,985,X,0985
100247,985,X,0985
100399,985,X,0985
100366,985,X,0985
426716,972,X,0972
950130,136,P,0136
980130,13,P,0013
0,0,X,NYSC
0,0,C,NYFC
0,0,X,0RSC
0,0,X,0MSP
0,0,C,0MSP
0,0,C,00C1
0,0,C,0AD1
160467,1,K,0001
160628,1,P,0001
160450,1,P,0001
347656,108,P,T108
919008,172,P,0172
957739,107,P,0107
951984,107,P,0107
907074,107,P,0107
959819,107,P,0107
957819,107,P,0107
952384,107,P,0107
960557,107,P,0107
961143,107,P,0107
956626,107,P,0107
921479,107,P,0107
934770,107,P,0107
904913,107,P,0107
952939,107,P,0107
952934,107,P,0107
933846,107,P,0107
935783,107,P,0107
943958,107,P,0107
955598,107,P,0107
653245,107,P,0107
958190,107,P,0107
960993,107,P,0107
953496,107,P,0107
952108,102,P,0102
947509,108,P,0108
947509,105,P,0105
935510,107,P,0107
957732,107,P,0107
961057,107,P,0107
955121,107,P,0107
960543,107,P,0107
949420,105,P,0105
956271,103,P,0103
957608,101,P,0101
961932,106,P,0106
949496,106,P,0106
949494,106,P,0106
959242,106,P,0106
941016,105,P,0105
952012,103,P,0103
951408,103,P,0103
955990,103,P,0103
955763,103,P,0103
954494,73,P,0073
920193,172,P,0172
509,835,U,0835
472,835,U,0835
472,836,U,0836
472,835,X,0835
190,835,X,0835
264,835,X,0835
525,835,X,0835
956859,46,P,0046
49489,0,P,PABT
47214,302,P,O302
942620,41,P,0041
100409,985,X,0985
950503,34,P,0034
930156,46,P,0046
947750,804,P,0804
950629,75,P,0075
933882,172,P,0172
941757,105,P,0105
957042,50,P,0050
957821,50,P,0050
941547,45,P,0045
953758,67,P,0067
948804,44,P,0044
44664,642,P,0642
947146,66,P,0066
953289,70,P,0070
943573,114,P,0114
954029,46,P,0046
937366,45,P,0045
928119,45,P,0045
941610,43,P,0043
956077,103,P,0103
952497,103,P,0103
958984,103,P,0103
961259,103,P,0103
954591,103,P,0103
937723,103,P,0103
932912,103,P,0103
925605,106,P,0106
925605,106,P,O106
949225,103,P,0103
961475,103,P,0103
955750,103,P,0103
958825,103,P,0103
950379,103,P,0103
952348,103,P,0103
961625,103,P,0103
961718,103,P,0103
961786,103,P,0103
961789,103,P,0103
961871,103,P,0103
951247,103,P,0103
957082,101,P,0101
953032,101,P,0101
959109,101,P,0101
952769,101,P,0101
950670,101,P,0101
956646,101,P,0101
933160,34,P,0034
934492,0,P,WTCC
944232,574,P,0574
931458,801,P,0801
953589,801,P,0801
957678,801,P,0801
952310,123,P,0123
957153,121,P,0121
938862,121,P,0121
956065,120,P,0120
938382,139,P,0139
948194,139,P,0139
944284,804,P,0804
953345,804,P,0804
953488,804,P,0804
959325,804,P,0804
987830,805,P,0805
958261,805,P,0805
953253,805,P,0805
956503,0,P,PSA5
943875,75,P,0075
596882,0,X,BHPW
959091,162,P,0162
100929,976,H,0976
101100,976,H,0976
951076,107,P,0107
921906,161,P,0161
907323,115,P,0115
951798,115,P,0115
909327,115,P,0115
111168,839,X,0839
111135,839,X,0839
111125,839,X,0839
111107,839,X,0839
111101,839,X,0839
942358,61,P,0061
949063,103,P,0103
950019,103,P,0103
957812,103,P,0103
956268,103,P,0103
939098,103,P,0103
956423,103,P,0103
962222,103,P,0103
953023,103,P,0103
955963,103,P,0103
956144,103,P,0103
916335,0,P,0000
916353,34,P,0034
916333,34,P,0034
926566,688,P,0688
144,0,P,0000
138,0,P,0000
36,2,X,0002
99,0,X,0000
138,0,X,0000
954140,805,P,0805
961521,805,P,0805
961501,805,P,0805
939696,806,P,0806
937144,806,P,0806
958755,809,P,0809
906813,420,P,0420
948302,136,P,0136
928421,136,P,0136
952032,136,P,0136
935049,136,P,0136
946493,136,P,0136
935159,137,P,0137
928138,136,P,0136
950985,136,P,0136
650985,136,P,0136
950905,136,P,0136
950935,136,P,0136
935113,779,P,0779
947019,778,P,0778
944942,77,P,0077
956541,90,P,0090
957202,73,P,0073
955146,75,P,0075
939239,75,P,0075
950800,75,P,0075
955096,73,P,0073
582179,0,B,TMN5
553389,0,B,0QMT
954054,863,P,0863
920447,255,F,E255
912719,70,F,4070
911901,224,F,5224
919852,30,F,1030
955893,290,F,E290
16,0,P,0000
50,0,P,0000
123,0,P,0000
37,0,P,0000
152,0,P,0000
113,0,P,0000
143,0,P,0000
161,0,P,0000
161,0,X,0000
71,0,P,0000
71,0,X,0000
37,0,X,0000
39,0,P,0000
113,0,X,0000
115,0,P,0000
115,0,X,0000
91,0,X,0000
91,0,P,0000
73,0,P,0000
141,0,P,0000
89,0,X,0000
89,0,P,0000
50,0,X,0000
159,0,P,0000
92,0,P,0000
440141,0,P,0000
143,0,X,0000
351992,108,P,T108
926873,401,P,0401
331163,0,P,BXTP
340040,720,P,T720
341907,0,P,0000
356572,109,P,T109
358867,502,P,T502
348555,0,P,0SZ0
348555,110,P,T110
955893,950,F,4950
368649,950,F,4950
0,0,F,0000
909314,565,F,1565
912884,565,F,1565
920554,156,F,7156
921109,530,F,4530
916586,0,F,FFRE
919907,102,F,7102
920307,219,F,E219
920307,219,F,6219
916910,0,F,0BFI
916227,312,F,E312
963322,0,P,PSA7
950233,108,P,0108
935991,104,P,0104
957780,802,P,0802
958158,802,P,0802
952753,0,P,PSA2
962809,802,P,0802
960324,802,P,0802
950998,802,P,0802
961449,802,P,0802
954071,802,P,0802
954066,802,P,0802
952156,0,P,PSA2
937786,802,P,0802
954409,75,P,0075
955029,75,P,0075
953006,105,P,0105
948391,105,P,0105
959678,105,P,0105
956053,105,P,0105
958215,105,P,0105
959103,105,P,0105
953024,105,P,0105
948634,102,P,0102
960104,102,P,0102
952446,102,P,0102
950361,75,P,0075
954586,75,P,0075
961748,60,P,0060
961926,60,P,0060
961729,60,P,0060
958335,60,P,0060
961702,60,P,0060
955102,67,P,0067
950694,0,P,OO67
950694,67,P,0067
950079,67,P,0067
930200,66,P,0066
560188,0,S,MN12
949574,5,P,0005
902313,6,P,0006
955532,75,P,0075
926569,75,P,0075
955499,75,P,0075
955572,75,P,0075
949723,90,P,0090
942916,10,P,0010
954443,79,P,0079
961286,81,P,0081
938219,509,P,0509
950979,75,P,0075
958727,75,P,0075
946495,75,P,0075
953310,75,P,0075
960162,75,P,0075
961115,77,P,0077
0,0,S,BXSP
0,0,S,BXSD
599562,0,S,BXTF
959642,23,P,0023
953302,20,P,0020
897624,19,P,0019
942719,123,P,0123
961307,123,P,0123
944847,123,P,0123
933641,123,P,0123
934144,123,P,0123
921521,123,P,0123
943476,123,P,0123
924593,123,P,0123
937168,123,P,0123
957822,123,P,0123
950920,123,P,0123
950900,123,P,0123
962342,122,P,0122
962564,122,P,0122
962859,122,P,0122
962810,122,P,0122
612361,0,S,QNSP
625137,0,S,KKTF
658547,0,S,KKSP
957876,0,S,KKTF
627104,0,S,KKSP
569225,0,X,KKTF
610415,0,S,KKTF
0,0,S,KKTF
626686,0,S,KKSP
960572,808,P,0808
962122,0,P,PSA8
961439,808,P,0808
962355,0,P,08O8
962347,0,P,08O8
962347,808,P,0808
951453,0,P,PSA8
959571,808,P,0808
958884,0,P,PSA8
936622,808,P,0808
946295,808,P,0808
962776,808,P,0808
963049,808,P,O808
953350,122,P,0122
952722,122,P,0122
951411,122,P,0122
952984,122,P,0122
941879,122,P,0122
929117,122,P,0122
953502,122,P,0122
949661,122,P,0122
953327,123,P,0123
946002,123,P,0123
946556,123,P,0123
949099,123,P,0123
931950,123,P,0123
932861,123,P,0123
962451,123,P,0123
962714,123,P,0123
936175,123,P,0123
940249,123,P,0123
940249,103,P,0103
956762,123,P,0123
944935,123,P,0123
936681,123,P,0123
956731,123,P,0123
949820,18,P,0018
584562,0,S,EX09
961253,71,P,0071
958226,76,P,0076
957124,76,P,0076
946200,76,P,0076
961388,76,P,0076
952287,76,P,0076
946234,76,P,0076
952561,76,P,0076
963224,808,P,0808
925796,121,P,0121
925790,121,P,0121
925290,121,P,0121
958136,123,P,0123
947125,121,P,0121
961927,121,P,0121
962069,121,P,0121
948951,121,P,0121
918037,14,P,0014
702761,0,X,0000
642776,2,X,0002
523866,0,X,0000
330391,883,P,0883
349539,0,P,TE04
343900,504,P,T504
332045,504,P,T504
959948,70,P,0070
959448,70,P,0070
958867,61,P,0061
960064,61,P,0061
923171,61,P,0061
923465,61,P,0061
926826,61,P,0061
923670,61,P,0061
923620,61,P,0061
923820,61,P,0061
960564,61,P,0061
934115,61,P,0061
959724,61,P,0061
949520,61,P,0061
958043,61,P,0061
931202,61,P,0061
971202,61,P,0061
929395,61,P,0061
948414,61,P,0061
948419,61,P,0061
917734,61,P,0061
935899,61,P,0061
948280,61,P,0061
951957,62,P,0062
960225,63,P,0063
939650,63,P,0063
959558,63,P,0063
959558,65,P,0065
960457,63,P,0063
961141,63,P,0063
952415,63,P,0063
952525,63,P,0063
931284,63,P,0063
946369,63,P,0063
959279,63,P,0063
943157,63,P,0063
952218,63,P,0063
957430,63,P,0063
941792,63,P,0063
342924,504,P,T504
346406,883,P,0883
396400,883,P,0883
346406,88,P,0088
329998,504,P,T504
333060,504,P,T504
923489,401,P,0401
927689,401,P,0401
901656,401,P,0401
958973,63,P,0063
941074,63,P,0063
961074,63,P,0063
942411,63,P,0063
961211,63,P,0063
958373,63,P,0063
938490,63,P,0063
960506,63,P,0063
949323,63,P,0063
952810,63,P,0063
934997,63,P,0063
943295,63,P,0063
943248,63,P,0063
943298,63,P,0063
936762,63,P,0063
958192,63,P,0063
952707,63,P,0063
934960,63,P,0063
952644,63,P,0063
961262,63,P,0063
940631,63,P,0063
940276,63,P,0063
957009,63,P,0063
951761,63,P,0063
945396,63,P,0063
955328,0,P,TD30
961061,0,P,TD30
959863,807,P,0807
958435,807,P,0807
960712,807,P,0807
951114,802,P,0802
962770,0,P,00O7
954701,46,P,0046
959680,49,P,0049
